,Reviews,result
48,화면 보다 더 그레이 인거 말곤 좋습니다. 가볍고 편한편이고 다른 나이키 신발보단 큽니다. 그래서 정사이즈면 될듯,1
49,3번째 p6000 너무만족하고 좋네요편하고 푹 빠졌네요.이만한 신발 못받고 이만큼 이쁜것 이만큼 편한것 아주 좋아요~~컬러감도 너무 좋아요.,1
50,"메탈릭실버색 사이즈 품절로 몇달 기다렸는데 신제품이 눈에 들어와 바로 구입했어요.색도 산뜻하고 착화감도 매우 좋아요.vk런,데이브레이크 반사이즈업해서 신는데  p-6000은 정사이즈 추천이 대부분이었으나 반사이즈업하니 여유있고 좋아요.",1
51,"화면보다 신어보니 더 예쁘네요신랑 생일 선물로 선물했는데가족 셋트로 사고 싶다는 생각까지는 했는데사이즈가 없네요 ㅎㅎㅎ여름이라 파랑색 나이키 로고가 시원하게보이고, 은은한 은색 계열이 어디든 다 잘 어울립니다. 배송 만족 문자 서비스 만족.잘 신을께요~♡",1
52,220신는데 225샀는데 조금 커요! 실물이 진짜 예쁩니다!!!!!착화감도 좋고 진짜 편하고 예뻐요,1
53,스피리돈 케이지2 수명연장을 위해 번갈아 신으려고 삿는데 이쁜건 당현하고 착화감 너무한거 아님?? 20만원이 넘는 스피리돈 케이지2보다 편하면 어떡함!!!!????ㅜㅜ발 정말 편합니다,0
54,와우 색상 & 착용감 & 쿠셔닝 다 좋아요 보메로5도 좋았지만 p6000도 좋네요 ㅎ한 사이즈 업하면 편안합니다 ㅎ,1
55,선물로 구입했는데 가볍고 편하고디자인도 맘에 드네요잘 신어질거 같아요,1
56,화면과 흡사하며 편안합니다나이키 치고는 발볼이 넓어서정사이즈로 시키는게 좋아요혹시 몰라 5mm 키웠는데 교환하기는 귀찮아서 그냥 신어요,1
57,데일리 슈즈로 딱이네요가볍고 이쁘고 싸고사이즈는 5mm 크게!,1
58,편하고 예쁘게 마음껏 신을것같아요!!너무 만족해요!!블랙 프리미엄 못산게 너무 아쉽네요~~,1
59,런닝화라 그런지 가볍고 신어본 나이키 운동화중에 제일 편하네요,1
60,예쁘고 편합니다!! 쿠션감도 마늠에 들고 뒷꿈치부분이 특히 편한듯해요,1
61,남푠선물로 샀는데 실물이 너무 예뻐요!나이키는 항상 정사이즈보다 5정도 더 크게 주문해야 편한것같아요.,1
62,며칠 고민 해서 구매했는데  기대 이상이네요.너무 마음에 들어요. 정사즈  주문 해도 된다는  블로우 보고 정사즈 255  주문 했는데 신발이  편해요,1
63,기대 이상이네요!! 너무 맘에 들어요~~!! 크다는 리뷰가 있어서 250 주문하면서도 걱정했는데 편하게 맞네요!!,1
64,개인적으로 사진보다 실물이 더 이쁘네요.청바지에 신으니 잘 어울립니다.,1
65,약간 처음엔 애매한 느낌인데 신으면 신을수록 괜찮은 느낌이네요 보메로와 차이점은 처음에 신고나서 발등 애매한곳에 물집이 잡힌 거 뿐. 어딘가 걸리적 거리는 곳이 있는진 모르겠지만 그래도 계속 신으면 정이 붙을거같아요 ㅎ 일단 가격이 착해서 처음 애매한 느낌정도는 가볍게 무시 가능합니다 ㅎ,1
66,"발이 편한 일상화가 필요했는데, 생일쿠폰 이용해서 저렴하게 좋은제품 구매했습니다.조던시리즈는 주로 290 사이즈 착용하는데 P-6000은 길이나 발이 여유있게 나와서 정사이즈인 285으로 주문했는데 참 편해서 좋습니다.",1
67,"여성용은 245신으면 맨발로 신어도 발끝이 신발 끝에 닿는데 그래서 250신을때도 있는데,P6000프리미엄 남녀공용은 좀 크게 나온듯해요245 낙낙하게 볼도 잘맞고 길이도   조금 여유 있게 잘 맞네요색깔도 실물이 더 이쁘네요오른쪽 신발이 안쪽 복숭아뼈근처  닿는 느낌이 별로인데,신다보면 편해지겠죠~그것빼고는 다 좋아요.신발도 가볍고 좋아요",1
68,"기존에 레드를 신고있었고, 무난한 색상 신발 찾고있었는데 뉴발회색은 너무 흔하디흔하고 마침 회색이 출시되서 바로 구매했습니다. 아주 마음에듭니다.둘다 275",1
69,사이즈가 다르제품보다 큼아래 사이즈 품절이라 반품도 못하고 깔창깔고 신음,0
70,정말  실물깡패네요 엄청 편하고 좋아요 이쁘고 고민하시는분들 바로사세요ㅎ후회안해여,1
71,실착 엄청 이쁘네요착용감은 보메라랑 비교시 좀더 하드합니다정사이즈 구매했구요 저는 칼발이라 딱  맞는데볼 크신분들은 작게 느껴질수도,1
72,보메로 240 사이즈 신어서 p6000도 240으로 구매 했더니 잘 맞아요.그레이색상 예쁩니다.기다리길 잘했네요.V2K 비교 하다가 발 커보이는거는 비추라 P6000으로 구매.편하고 발 작아 보이고 저는 만족합니다.,1
73,신발은 정말 이쁩니다.다만 물기있는 바닥을 지나갈시에는 다소 미끄러워서 이동시에 다소 신경이 쓰입니다. 구매시 참고하세요,1
74,최고임 두루두루 휘뚜루 마뚜루 템이다.가벼운 등산도 좋고 통풍도 잘됨.검정색이 진리임,1
75,너무 이뻐서 좋아요 발매하자마자 245 겟했어요계속 품절이네요 사이즈 좋아요,1
76,사진보다 더 이쁩니다 사이즈는 남여공용이라그런지 여자245보단 널널하네요아주 맘에듭니당  너무편해요  강츄,1
77,기존 것 보다 밑창이 생고무라서 접지력이 좋아요.따뜻한 봄날에 딱 어울리는 신발입니다.올해의 컬러 그린 아주 딱입니다!,1
78,예쁜데 정사이즈로 샀더니 약간 작네요귀찮아서 그냥 신으려구요한 사이즈 업해서 신으면 딱 좋을듯,0
79,이쁘긴진짜이쁜데...나는 진짜 스웨이드(세무)를 너무너무너므너므너무싫어함...근데 사진에서는 세무 아닌것처럼 찍어놨는데얇게 띠 하나가 세무여서 엄청 짜증남멤버스할인받은거 아니었으면 환불했을거같음..발볼이 조금 좁음,0
80,실물 미처씁니다 그린 계열은 처음인데 실물 미처써요 평소 발바닥이 아프고 오래 못걷는데 p-6000 푹신푹신하고 엄청 편하네요 웬만한 옷들이랑 다 어울릴듯 ㅆ간지템완전 정사이즈고 칼발아닙니다 칼발이신분은 반업하셔야댐 다른색상 흰회색 들어간거 재구매 해야될듯 이가격에 이정도면 ㄱ이득 너무 편함 너무좋음 와이프도 이쁘다고 똑같은거 사달라고 하네요 고민하지말고 사셔도 될듯 추천,1
81,부담스럽지 않게 예쁘게 신을 수 있습니다발볼보통 정사이즈발볼넓으면 반업 정도 하면 될 것 같아요원래 270 신는데 275했더니 살짝 크네요,1
82,막노동 알바할때 신으려고 싼거 하나 샀습니다막노동 알바할때 신으려고 싼거 하나 샀습니다막노동 알바할때 신으려고 싼거 하나 샀습니다,0
83,"예쁜 초록색 포인트가 산뜻해보여요. 칼발이고 235, 240 신는데 240이 편안하게 맞아요.(살짝큰듯) 쿠션 좋아서 오래신어도 발이 피곤하지 않아요. 소장하고 있는 나이키런닝화보다 휠씬 편해요",1
84,가볍고   초록색이 완전 상콤하니  이쁩니다착용감 너무 좋아요흔한색이 아니라서 자꾸 눈이 가요,1
85,베이지 면바지에 신으려고 삼. 편함. 무난한 디자인. 걸을때 쿠션도 편함.,1
86,P-6000은 2000년 초반 맥스95  좋아하셨던 분들께 선물인 느낌입니다. 맥스95 느낌이 많이 납니다. 신발은 진짜 이쁘고 편합니다.,1
87,출시하자 마자 보고 색상 조합이 이뻐서 구매했는데 이쁘네요ㅎㅎ사이즈도 딱 정사이즈라 편하게 신으시려면 반업정도 하셔야 될거 같네요!발볼러 한테는 좋은P6000👍🏻,1
88,p6000 너모 편해서 잘 신고있어요.실버 가지고 있어서 살 생각없었거든요 ㅠㅠ 새로나온 컬러들 너무 이뻤어도  ...  잘 참았거든요 ㅠㅠ 근데 이 색감은 못참아버렸네욘....☆넘 귀얍어요 ㅋㅋㅋ,1
89,P6000 다른색상 갖고있는데 너무 좋아서 신상 그린컬러 조합도 맘에 들어 또 구입했어요프리미엄이 느낌탓인지 발볼이 좀 좁은 느낌인데 칼발이라 몇번 신으면 익숙해질것 같아요발볼 넓은분들은 반사이즈 업해도 괜찮을듯 합니다,1
90,뉴*만 신다가 나이키는 처음인데  발이 아플정도는 아니고 완전 딱맞아요 한치수 업해서 편하게 신어야하나 고민하다 그냥 신기로했어요  디자인이 생각했던것보다 좀 아쉽네요,0
91,이거 장난 아니게 편안합니다 발목을 감싸주고 맨날 서있는사람들한테는 가격대비 꿀템인거 같습니다 신발도 이쁘고 어떤바지에도 스타일을 소화 할수있어서 좋습니다 굿,1
92,"편해요디자인은 생각했던갓보단 살짝 아쉬움평소엔 250신지만 편하게 신으려고 255시켰는데 좀 크지만,,,그냥 신어욧개인적으로 보메로가 더 편해욧",1
93,정사이즈에요. 발볼넓고 발등도 높은편인데 편하고 예쁩니다. 추천합니다~,1
94,"270 정사이즈 실물 색상 화면과 비슷합니다.이번에 색상 조합이 봄, 여름에 데일리로 신기 좋아보여서 구매했습니다~",1
95,P-6000시리즈 두번째 구매 색상 이쁘네여 앞으로 요 시리즈로 구매해야겐네여..많이파세요,1
96,보기에는 신발 디자인이 딱딱해보여서편안할까 의심했는데 막상 신어보니착화감 좋구요 쿠션도 짱짱합니다~정사이즈 가셔도 되구여디자인도 맘에 듭니다,1
97,아버지 겨울용 운동화로 주문했는데 진짜 다른 리뷰들처럼 실물이 훨 예뻐요. 모양도 예쁘고 브라운 색상으로 포인트 들어간게 넘 좋습니다. 부드러운 브라운색이라 차분하고 깔끔해요. 한글로 나이키 써 있는 것도 귀엽고요. 아버지가 가볍고 쿠션도 적당히 있어서 넘 편하다고 좋아하십니다. 정사이즈고요. 잘 신을게요!,1
98,블랙프라이데이 덕분에 좋은 가격주고 고민없이 구매했습니다^^이 제품은 확실히 실물이 더 예쁘네요사이즈는 265인데 정사이즈로 딱 좋습니다.^^,1
99,한글날 에디션이라 뒷태에 한글로 [나이키] 보이는게 넘 예뻐서 샀어요!한글날 에디션 중에 얘가 제일 잘 보이기도 하고 에어포스보단 얘가 예뻐보여서 이걸로 구매 ㅎㅎ코르테즈도 귀여워서 고민하긴 했는데..일단은 신랑 선물로 샀습니다생각보다 한글 써있는거 훨씬 좋아하더라구요 :)너무 좋아해서 저도 뿌듯했습니다크기는 285신는 신랑한테 잘 맞아요발등 발볼 다 있는 편,1
100,일할때 신으려고 때가 잘 안타고 튼튼해보이는녀석으로 구입했는데가볍고 편하고 완전 만족입니다그런데 일할때 못신을것 같아요정말 너무너무 예뻐서 일할때 신기 아깝습니다한글 나이키 포인트가 미쳤습니다,1
101,사진보다 실물이 쩔어요!가을에 어울리는 색이고 착화감도 좋아서 주 5일 출근 중에 4번 이상은 신고 나갑니다!,1
102,화면으로 보는것보다 실물이 더 이쁩니다.가볍고 편안해서 런닝뿐아니라 일상화로 신어도 아주 좋을것 같습니다.,1
103,은색과 갈색 고민하다가 갈색 갔는데 탁월한 선택이었음. 보이는대로 베이지가 아니라 약간 회갈색이어서 어두을때보면 은색느낌도 남 아주좋음 굳굳 그리고 런닝화라 그런지 개편하고 가벼움 나이키에서 산 운동화중에 제일 맘에듦,1
104,실물이 예쁘네요 사이즈는 정사이즈 추천드려요 착용감은 좋아요,1
